id;front_content;back_content;front_sound_file_path
653;(polite) my older sister;gaa1 ze2;2819
654;to move;juk1;2073
655;how are you?;nei5 hou2 ma1;2613
656;accurate/to allow/to grant;zeon2;2798
657;to admit an error/to acknowledge one's mistake;jing6 co3;3504
658;to go to work;faan1 gung1;2823
659;overcast (weather)cloudy;jam1;1657
660;environment/circumstances/surroundings;waan4 ging2;3286
661;for/on behalf of/to act asto serve asto behave as;wai4;726
662;argue/quarrel/bicker/squabble/tiff;aai3 gaau1;2127
663;fluent;lau4 lei6;1030
664;flashy/impressive;baa1 bai3;78
665;to sit/to take a seat;co5;1321
666;hurts/pain;tung3;1605
667;date;jat6 kei4;182
668;(college, university) president/headmaster/principal;haau6 zoeng2;2590
669;tree;syu6;576
670;wood;muk6;3392
671;wind;fung1;2965
672;all kinds/every kind;joeng6 joeng6;3551
673;to jump/to hop;tiu3;1372
674;over there/that side;go2 bin6;2032
675;noon/midday ;zung1 ng5;3127
676;hotel;zau2 dim3;2747
677;it's time/time is due/time's up;gau3 zung1;1355
678;gray;fui1;3263
679;sour;syun1;2631
680;so;gam2;1214
681;to have a pleasant journey/Bon voyage!;jat1 lou6 peng4 ngon1;1783
682;life;meng6;1696
683;short (length)brief;dyun2;1789
684;term/semester;hok6 kei4;2134
685;spring (season);ceon1 tin1;1718
686;to work/job/work;gung1 zok3;3
687;just now/a moment ago;zeng3 waa2;3325
688;v. frighten, surprise, startle/adj. scary, surprised, startled;geng1;2285
689;at the same time/simultaneously;tung4 si4;501
690;bathtub;cung1 loeng4 gong1;1216
691;to rain;lok6 jyu5;1844
692;swimming;jau4 seoi2;3416
693;to turn;zyun2;733
694;place;dei6 fong1;1255
695;granted that/even if;zau6 syun3;1980
696;verb particle indicating action in progress/to wear (clothes)/to contact/to touch/to be affected by/to catch fire;zoek6;2719
697;birthday;saang1 jat6;2114
698;behind;hau6 bin6;953
699;footleg (of an animal or an object)/base (of an object)/classifier for kicks;goek3;2665
700;to open/to start/to turn onto operate (vehicle);hoi1;3548
701;after all/all in all/when all is said and done;bat1 ging2;2698
702;Halloween;maan6 sing3 zit3;490
703;troublesome/to take a lot of trouble to do sth;fai3 si6;3354
704;question/problem;man6 tai4;2051
705;to sacrifice (one's time, freedom, career, life, etc.);hei1 saang1;1632
706;to kneel;gwai6;376
707;big;daai6;1849
708;famous;ceot1 meng4;1854
709;stop;ting4 dai1;2101
710;The tap/faucet is leaking;seoi2 lung4 tau4 lau6 seoi2;443
711;season;gwai3 zit3;3435
712;to arrive/to (a place)until (a time)(verb complement denoting completion or result of an action);dou3;2493
713;boat;syun4;1743
714;to skiskiing;gwat1 syut3;1900
715;nightdark;je6;3107
716;Have you eaten yet?;nei5 sik6 faan1 zo2 mei5 aa1;2335
717;(informal) grandma (paternal grandmother);naai5 naai5;2946
718;v. will;hui2;1063
719;pour in;dou2 jap6;3321
720;damaged/worn out/lousy;po3;522
721;exactly/precisely the caseit's like this...;zik1 hai6;3353
722;free of charge;m4 sai2 cin2;3168
723;beef;ngau4 juk6;546
724;bitter;fu2;2394
725;lost/to lose one's way;dong6 sat1 lou6;2954
726;May you have a prosperousNew Year! (New Year's greeting);gung1 hei2 faat3 coi4;131
727;to speak;jiang;3256
728;thousand;cin1;2294
729;the year after next;hau6 nin4;536
730;of course;gang2 hai6;1755
731;salty;haam4;967
732;thunder;leoi4 gung1;1127
733;dress (noun);saam1 kwan4;317
734;honest;sing4 sat6;2783
735;recently;ne1 paai4;110
736;finally/in the end;zeot1 zi1;None
737;already;ji5 ging1;3277
738;kilogram (kg);gung1 gan1;325
739;kilometer;gung1 lei5;3111
740;camera;jeng2 soeng2 gei1;280
741;paper towel/napkin;zi2 gan1;3427
742;what a pity/unfortunately;ho2 sik1;2402
743;to inquire/to investigate;tiu4 caa4;378
744;in short in brief;zung2 zi1;2241
745;ginger;goeng1;3185
746;all over the place/all around/everywhere;zau1 wai2;2505
747;to play/to have fun;waan4;527
748;story;gu3 si6;278
749;spicy;laat6;3469
750;hardworking/diligent;kan4 lik6;1671
751;Good night!Good evening!;maan5 ngon1;3202
752;road;lou6;2781
753;curriculum vitae (CV)resume;lei5 lik6 biu2;301
754;Please write it down;m4 goi1 nei5 se2 dai1 aa1? m4 goi1 bat1 gei3;None
755;Take care(Leave slowly);maan6 maan6 haang4;1537
756;to support one's parents;joeng5 fu6 mou5;1333
757;odd/strange;gwaai3;341
758;the more... the more;jyut6;249
759;to notify/to inform/notice/notification;tung1 zi1;3372
760;from now on/after/later/afterwards;ji5 hau6;1180
761;obstructing/waste of space;zo2 deng6;27
762;to doto incite/stir up/scheme;gaau2;2491
763;bookshelf;syu1 gaa2;783
764;clothes shop;saam1 pou3;1587
765;to catch/to get a hold ofto receive/to pick up somebody;zip3;333
766;please (do sth)/to treat (to a meal etc);ceng2;3314
767;habit/custom;zaap6 gwaan3;386
768;to follow closely/to go with/heel (of foot, shoe, etc);gan1;2935
769;jealous/jealousy;dou3 gei6;3000
770;calm/to calm down;laang5 zing6;220
771;vacation/holiday;gaa2 kei4;2912
772;finish up/close out/settle/move closer or nearer/to close in or up;maai4;1301
773;(familiar) elder brother;aa2 go1;1843
774;student/school/child;hok6 saang1;505
775;mistake/wrong/bad;co3;3472
776;to cross/to go over/to pass (time)/to celebrate (a holiday) excessively;gwo1;3135
777;mistake/do something wrong;gaau2 co3;1140
778;(loanword) pound (unit of weight, about 454 grams)scale;bong6 bong2;None
779;actually/really/in reality;sat6 zoi6;2931
780;classifier for long thin things (ribbon, river, road, trousers etc);tiu4;364
781;uncle (father's older brother)/polite way of addressing an older person;aa2 baa3;118
782;to break open/to opento turn on/to switch on;daa2 hoi1;1790
783;to not have;mou5;1614
784;to trick;nan2 faa3;2444
785;bridge;kiu4;1513
786;disorderly/messy/to jumble up/to mess up;lyun6;900
787;dark (of color, water etc)/deep profound ;sam1;1518
788;to accompany/to keep sb company;pui4;1565
789;especially/special;dak6 bit6;3140
790;why don't...?why not..?let us...not as good as/it would be better to;bat1 jyu4;85
791;toilet/lavatory;ci3 so2;2755
792;who;bin1 go3;2709
793;river;ho4;983
794;tomorrow;ting1 yat6;437
795;apartment building;gung1 jyu6;3059
796;beef steak;ngau4 paa2;2358
797;branch/classifier for sticks, rods, pencils etc;zi1;3252
798;all together/at the same times/imultaneously;jat1 cai4;228
799;think/consider/ponder over;lam2;3408
800;(of cooking) to steam;zing1;2414
801;to treat/treatment;deoi3 doi6;1458
802;to dress up to play (a role)to put on (an expression);baan3;924
803;thank you (for a gift);duō xiè;3308
804;there;go2 go3;1236
805;matter/thing;si6;794
806;evil/wicked;ngok3;3055
807;to clutch/to grab/to capture;zuk1;2115
808;to save money by limiting spending;haan1 cin2;1172
809;ice cream;syut3 gou1;2136
810;attractive/good-looking;leng3;1209
811;Beijing;baak1 ging1;569
812;raw rice/meter (classifier);mai5;2154
813;excited/excitement;hing1 fan5;444
814;dizzy;tau4 wan4;545
815;professor;gaau1 sau6;2969
816;to understand/understanding ;liu5 gaai2;258
817;to determine;ming4 kok3 kok3 ding6;None
818;conscience;loeng4 sam1;3541
819;in the future/the future;zoeng1 loi4;2159
820;half;bun3;3248
821;romance/love (romantic);ngoi3 cing4;426
822;mountain/hill;saan1;94
823;second (of time);miu5;1965
824;about to;zau6 jiu3;2728
825;to supervise/to inspect/jail/prison;gaam1;1969
826;completely;jyun4 cyun4;3526
827;so very (a little impolite)(the second word means ghost);gam2 gwai2;328
828;to look for (Cantonese);wan2;1915
829;to work as/to serve as[prep] at/in/on (that very moment/day/month/year);dong1;2759
830;muscle;gei1 juk6;3163
831;to welcome/welcome;fun1 jing4;2092
832;what? (Cantonese)/to squint;mat1;2450
833;to die;sei2;284
834;slowly/gently;ceoi4 ceoi4;2885
835;inside/interior;lei5 min6;1579
836;partner/boyfriend/girlfriend;deoi3 zoeng6;1942
837;yesterday;kam4 jat6;3138
838;(not only ...) but also/moreover/in additionfurthermore;ji4 ce2;2383
839;aunt (father's older sister);gu1 maa1;521
840;competition (sports etc)match;bei2 coi3;1478
841;shoe;haai4;2502
842;Canada;gaa1 naa4 daai6;1311
843;you;nei5;1868
844;going to school;faan1 hok6;529
845;allto haveto possessto own;so2 jau5;2833
846;number;lam1 baa2;2703
847;you're welcome;m4 sai2 haak3 hei3;738
848;shallow light (color);cin2;3089
849;map;dei6 tou4;3081
850;address;dei6 zi2;1390
851;(human) bodyhealth;san1 tai2;3301
852;to retire/retirement (from work);teoi3 jau1;1015
853;trousers/pants;fu3;658
854;Europe;au1 zau1;1136
855;fish;jyu4;586
856;Let's eat lunch together, okay?;ngo5 dei6 jat1 cai4 ji6 aan3 zau3 faan6 hou2 maa3?;3378
857;Let's meet there;ngo5 dei6 hai2 go3 do6 gin3;788
858;oh (interjection indicating that one has just learned sth or indicating doubt or surprise) ;o;2217
859;daydate/day of the month;jat6;1522
860;While you were eating, he came in.;nei5 sik6 gan2 go2 zan6, kui5 jap6 zo2 lei1;1761
861;to chop/to be/head (as form of capital punishment) ;zaam2;425
862;to have tea and refreshments/to have dimsum lunch;jam2 caa4;1867
863;receipt;sau1 geoi3;3341
864;to leave something behind;lau4 dai1;1195
865;to come up;soeng5 lai4;1103
866;I'll meet you then;nei5 dei6 dou3 si4 gin3;2772
867;waiter/waitress/shop assistant/sales clerk;fo2 gei3;3208
868;to give a discount;daa1 zit3;3237
869;in any case/regardless/anyhow/anyway;waang4 dim1;1308
870;clock;si4 zung1;608
871;to run;paau2;1082
872;sun;taai3 jeong4;300
873;to pass away;gwo3 san1;3187
874;to permit/to allow;jung4 heoi2;2917
875;cupboard/cabinet/wardrobe;gwai6;557
876;to go out (to town, shopping, etc.);heoi2 gaai1;2800
877;to shoot a movie;paak3 hei3;678
878;broccoli;sai1 laan4 faa1;3222
879;to like/to be fond of/happy/joyous/delighted;fun1 hei2;235
880;long;coeng4;102
881;animation/cartoon;dung6 waa2;2971
882;engineer;gung1 cing4 si1;1465
883;brothers and sisters;hing1 dai6 ze2 mui6;1149
884;??????????????;siu1 maai6;580
885;sit down;co5 dai1;566
886;clean;gon1 zeng6;2420
887;newspaper;bou3 zi2;42
888;?????????;coeng4 fan2;2852
889;New York;nau2 joek3;2722
890;lemon;ling4 mung1;926
891;to reply to respond/to promise/to agree;daap3 jing3;2740
892;Africa;fei1 zau1;2183
893;even more;gang3;219
894;v. to give/prep. to/by/have been;bei2;380
895;pot/classifier for bottled liquid;wu4;3181
896;hang onstop;mai1 zyu6;3001
897;society;se5 wui2;3174
898;make something to eat;zing2 je5 sik6;2337
899;to be in charge ofto take responsibility for;fu6 zaak3;383
900;gift/present;lai5 mat6;1412
901;step away;haang4 hoi1;1341
902;totally exhausted;gui6;826
903;to practice;lin6 zaap6;3559
904;fresh (experience, food etc);san1 sin1;360
905;supermarket;ciu1 si5;2390
906;weekend;lai5 baai1 mei5;397
907;to trust/to believe letter mail;seon3;337
908;to drive;zaa1 ce1;2365
909;insects/worm;cung4;2540
910;not yet/have not/also used as a final particle for asking whether an action has been done yet;mei6;2048
911;to get to know each otheracquaintance;soeng1 sik1;2515
912;flut/to catch cold/(common) cold;gam2 mou6;669
913;Please call a taxi for me;m4 goi1 bong1 ngo5 giu3 gaa2 di1 si6 aa1;3511
914;(used to reinforce a rhetorical question) could it be that ...?/is it possible that ...?/as if;m4 tung1;1226
915;bachelor's degree/person holding a university degree;hok6 si6;319
916;to find out/to discover;faat3 jin6;2471
917;join sb in (doing) sth;tung4 maai4;205
918;malfunctioning;waai6 zo2;1483
919;evening/night;maan5;2010
920;premeditated murder/to murder;mau4 saai3;2554
921;(coll.) mother's sister/maternal aunt;ji4 maa1;211
922;to get a haircut;fei1 faat3;1159
923;(computer) mouse;waat1 syu2;1218
924;Chinese cabbage/bok choi;baak6 coi3;2555
925;family/household;gaa1 ting4;1331
926;post office;jau4 guk6;991
927;now;ji4 gaa1;3131
928;young/youth;hau6 saang1;731
929;maiden girl;gu1 noeng4;1918
930;longan fruit;lung4 ngaan5;227
931;to joke;gong2 siu3;35
932;to wish/to express good wishes;zuk1;676
933;girlfriend;jyu5 pang4 jau5;631
934;after all (when all is said and done)actuallyoutcomein the end;gau3 ging2;653
935;poor/poverty-stricken;kung4;1863
936;musical instrument;lok6 hei3;1425
937;to feed/hello (when answering the phone);wai3;667
938;(exam) grade/score/fraction;fan1 sou3;3047
939;irritating/annoying/disguisting/unpleasant;ceoi1;2035
940;to use;jung6;2624
941;laugh/smile;siu3;393
942;Christian;gei1 duk1 tou4;996
943;to feel relieved/to be at ease;fong3 sam1;698
944;to pool together/to collude;gaap3 maai4;1695
945;to play mahjong or cards;daa2 paai4;1003
946;Buddhism;fat6 gaau1;2614
947;and then...;gan1 zyu6;2203
948;on the side;zak1 bin1;2024
949;just now;ngaam1 ngaam1;2392
950;to remember;gei3 dak1;3224
951;take-away (food);ling1 zau2;407
952;short (in height);ngai2;1613
953;to record;luk6;314
954;timeperiod;si4 gaan1;3032
955;salt;jim4;1165
956;to crawl/to climb;paa4;3307
957;formal/official;zing3 sik1;54
958;city/town;sing4 si5;792
959;elevator/escalator;din6 tai1;2718
960;to think/would like to;soeng2;3297
961;at any time/whenever;ceoi4 si4;2348
962;to feel with the hand to touch/to grope;mo2;1923
963;greedy;taam1 sam1;2831
964;number/figure/digit/to count/to enumerate;sou3;3068
965;to get up/to leave/to set forth;hei2 syun1;2326
966;I am ... years old;ngo5 ...seoi2;672
967;to hand over/to deliver/to pay (money)/to turn over;gaau1;875
968;hundred;baak3;2367
969;conveniently/it's along the way/at one's convenience;seon6 bin6;3334
970;to feel/to think ;gok3 dak1;3246
971;tomorrow morning;ting1 ziu4;294
972;tooth;ngaa4;29
973;to take a wife/to marry (a woman);ceoi2;2306
974;to decide/decision;kyut3 deng6;3049
975;to earn money/moneymaking;zaam6 cin2;180
976;handbag/purse;sau2 doi6;2252
977;also/too;jik6;1014
978;mango;mong1 gwo2;2354
979;to participate/to take partto join;caam1 gaa1;3143
980;to dare/to have the courage to;gam2;2652
981;difficult/hard;naan4;16
982;because/on account of;jan1 wai4;1678
983;who (polite);bin1 wai2;732
984;still/nevertheless;cung4 hai6;1542
985;factory;gung1 cong2;342
986;bean/pea;dau2;1289
987;to dispatch/to send/to assign;paai3;1071
988;to go through/to connect;tung1;596
989;to meet by accident/to bump into;zong6;1274
990;to get something done/to finish a job;gaau2 dim1;2765
991;classifier for clothes, events, things, etc;gin6;762
992;forever/eternal;wing5 jyun5;3326
993;search through a dictionary;caau3 zi6 din2;248
994;to be born;ceot1 saang1;3065
995;everything/every/all;jat1 cai3;287
996;to play the piano;taan4 kam4;2162
997;should/ought to/must;jing1 goi1;2215
998;to travel by/to take;daap3;1656
999;to visit/to explore/to search out/to scout ;taam3;1719
1000;doorway/gate;mun4 hau2;2208
1001;to graduate/graduation;bat1 jip6;109
1002;all/whole/entire/every/complete;cyun4;2454
1003;courage/""man enough"";gau3 daam2;1554
1004;news/information;siu1 sik1;2688
1005;bored/stuffy;mun6;1484
1006;noisy/bustling/tumultuous;cou4;1976
1007;music;jam1 ngok6;3272
1008;to listen/to hear/to obey;teng1;1725
1009;to praise;zaan3;1727
1010;too (much)/excessively;taai3;3179
1011;vegetables;so1 coi3;2794
1012;white;baak6 sik1;1053
1013;light/bright;gwong1;899
1014;to know how;sik1;3338
1015;namefame/reputation;meng4;2075
1016;it's okay/it doesn't matter/unimportant;m4 gan2 jiu1;1260
1017;(postage) stamp;jau4 piu3;2386
1018;highway/road;gung1 lou6;2190
1019;classifier for shop, house, room, etc;gaan1 and gaan3;2815
1020;no motivation/no interest;mou5 sam1 gei1;133
1021;anniversary/annual;zau1 nin4;2732
1022;to be at, in or on;hai2;965
1023;to arrage/to set in order/to make ready;zing2;3283
1024;[adj] whole/full[adv]/almost/nearly/to succeed/to complete/to become;cing4;1359
1025;Particle used in requests and imperatives;laa1;2961
1026;miserable/wretched/pitiful/tragic;caam2;1638
1027;what to do?/how to resolve this?;dim2 syun3;568
1028;Renminbi (RMB)/Chinese Yuan (CNY);jan4 man4 bai6;560
1029;fat;fei4;2230
1030;foolish;so4;1720
1031;either/or(more decisive than 或者);jat1 hai6;1479
1032;hospitable/passionate;jit6 cing4;939
1033;how have you been lately?;zuì jìn diǎn ya;779
1034;culture;man4 faa3;387
1035;to go;qù;3488
1036;to walk/to go;haang4;2205
1037;illness/disease/to fall ill;beng6;2962
1038;Please say it again;m4 goi1 nei5 gong2 do1 jat1 ci3 aa1? m4 goi1 zoi3 gong2;None
1039;on top/above/upper/previous/first (of multiple parts)/to climb/to go up/to attend (class or university);soeng5;958
1040;right/okay/a final particle often used to explain something (mostly) readily understood or (occasionally) not already known;yā ma;1031
1041;Can you suggest a place for lunch?;ho1 ji5 gaai3 siu6 go3 ji6 aan3 ge3 dei6 fong1 maa1?;3229
1042;Why is it necessary...?/Why must...? (used in rhetorical questions that implies something is not necessary);sai2 mat1;190
1043;reason/sense/logic;dou3 lei5;1494
1044;to recognize/to identify/to admit/to ackowledge/to agree;jing6;3114
1045;When should vacate the room?;ngo5 gei1 si4 yiu1 teoi3 fong2 aa1?;1550
1046;to consult/to talk over/to discuss;soeng1 loeng4;3139
1047;Is there someone who speaks English?;jau5 mou5 jan4 sik1 gong2 jing1 man4 aa1?;1394
1048;to review/revision;fuk1 zaap6;3566
1049;busy;mong4;3093
1050;fire!;fo2 zuk1 aa1;1106
1051;goodbye (modest formula)/Excuse me, I must leave.;sat1 pui4;1838
1052;(indicating time of day) o'clock;dim2 zung1;146
1053;hand;sau2;704
1054;to continue/to proceed with;gai3 zuk6;2488
1055;to misunderstand/to mistake/misunderstanding;ng6 wui6;3211
1056;not until/only then/when;sin1 zi3;462
1057;to travel/journey/trip;leoi5 haang4;2655
1058;to feel happy/to rejoice;hoi1 sam1;2058
1059;condition/term/clause/requirement/prerequisite/qualification;tiu4 gin6;2952
1060;husband;zoeng6 fu1;14
1061;banana;hoeng1 ziu1;1065
1062;privately-owned/private;si1 jing4;2886
1063;star;xīng;2112
1064;yellow;wong4;691
1065;soy sauce;si6 jau4;1795
1066;neighbor;gaak3 lei4;1511
1067;cool;laang5;2355
1068;this morning;gam1 ziu1 zou2;3021
1069;to try/to test/experiment/examination/test;si3;1561
1070;good morning;jou2 san1;3148
1071;[n] dollar/classifier for coinage;man4;2084
1072;dirty/sloppy;laat6 taap3 wu1 zou1;None
1073;serious;jim4 zung6;3074
1074;in that case/in this way/just like that;gaam6;1512
1075;Do you understand?;nei5 ming4 m4 ming4 aa1?;1019
1076;to return (to);faan1;461
1077;next year;ceot1 nin4;1329
1078;to take an exam/exam;haau2 si3;2124
1079;straight (in a straight line)/continuously;jat1 zik6;1232
1080;crab;haai5;3331
1081;houseroom;fong2;474
1082;teacher;lou5 si1;2512
1083;familiar/skilled/cooked/ripe, mature;suk6;1875
1084;success/to succeed;cing4 gung1;2231
1085;plan/to plan;gai3 waak6;1186
1086;to lose/to missto fail;sat1;2733
1087;year;nin4;660
1088;classifier for people (honorific);wai2;3128
1089;stomach/belly;tou5;2222
1090;chocolate;zyu1 gu2 lik6;2120
1091;small box/case;haap6;1887
1092;to know/to become aware of;zi1 dou3;41
1093;to be called/to be known as;giu3 zou6;2013
1094;to go back;faan1 heoi2;2214
1095;afterthen (afterwards);jin4 hau6;3190
1096;caption/subtitle;zi6 mok6;3300
1097;thank you (for a service);m4 goi1;1010
1098;ice;bing1;1594
1099;cough ;kat1;3366
1100;Good luck;zuk1 nei5 hou2 wan6;756
1101;pillow;zam2 tau4;524
1102;kitchen;cyu4 fong2;2291
1103;so therefore;so2 ji5;790
1104;last year;gau6 nin4;2932
1105;to pour (liquid)/to discuss/negotiate;zam1;3206
1106;mathematics/mathematical;sou3 hok6;1360
1107;fast/soon;faai3;3149
1108;to make clear/to explain;gong2 ming4;2704
1109;Stop bothering me/Leave me alone;m4 hou2 gaau2 ngo5;802
1110;but/however;daan6 hai6;1109
1111;back/behind/rear;hau6;457
1112;to talk nonsense;lyun6 ngap1;3200
1113;delicious;hou2 mei6;2496
1114;to be like/to be very similar/to resemble;hou2 ci5;3193
1115;to ride a horse;ke4 maa5;1349
1116;to be willing/to agree/to consent/to be ready (to do sth);hang2;2749
1117;classifier for planes, large vehicles, radios etc;gaa2;836
1118;portable computer;sau2 tai4 din6 nou5;943
1119;to shout/to call/to order;giu3;338
1120;send a text;faat3 dyun2 seon3;1005
1121;religious belief/to practice a faith/to be religious;seon3 gaau3;3164
1122;suddenly;fat1 jin4 gaan1;2573
1123;explanation/to explain/to interpret;gaai2 sik1;3359
1124;(coll.) wife;lou5 po4;1141
1125;(once) again/also;jau6;2439
1126;to fall down/fall forward;dit3 can1;1363
1127;to detest;zang1;400
1128;what/which/final particle which transforms statements into questions that indicate doubt or surprise (Cantonese);miē;2378
1129;program/item (on a program);zit3 muk6;2403
1130;ticket;piu3;2620
1131;left;zo2;3518
1132;basketball;laam4 kau4;1852
1133;chopsticks;faai3 zi2;3097
1134;carrot/radish;hung4 lo4 baak6;3169
1135;all day long/the whole daythe whole time/frequently/always;cing4 jat6;3035
1136;The air conditioner is too noisy;laang5 hei3 hou2 cou4 aa1;1132
1137;museum;bok3 mat6 gun2;1615
1138;to steal;tau1;1753
1139;to cherish/to care for tenderly;sek3;1365
1140;roadpath;dou3;2495
1141;Imemy;ngo5;3387
1142;friend;pang4 jau5;2656
1143;horse;maa5;3247
1144;manager;ging1 lei5;562
1145;plant/vegetation;zik6 mat6;2770
1146;means/way (of doing sth);baan6 faat3;755
1147;same/similar;tóng;3442
1148;coffee (loanword);gaa1 fe1;618
1149;bill/list/single;daan1;2145
1150;mother's brother/maternal uncle;kau3 fu2;1693
1151;to stand;kei5;1146
1152;department store;baak3 fo3 gung1 si1;3414
1153;only/merely/just;zing6 hai6;636
1154;husband and wife/married couple;fu1 cai1;1024
1155;older male cousin;biu2 go1;1610
1156;real/true/genuine;zan1;3061
1157;to be picky;gaan2 zaak6;1647
1158;house;nguk1;3250
1159;to change/to exchange;wun6;1158
1160;sleepy;ngaan5 fan3;2750
1161;naughty/mischievous/unruly;tiu3 pei4;2918
1162;calculator;gai3 sou3 gei1;149
1163;worth buying;dai2 maai5;3388
1164;oceansea;hoi2;689
1165;Macau;ou3 mun2;1570
1166;other(sth or sb else)/the rest;kei4 taa1;3122
1167;pharmacy/drug store;joek6 fong2;221
1168;to provoke;ci3 gik1;706
1169;to calculate/to compute/to count/meter/gauge;gai3;832
1170;to wish for/to desire/hope;hei1 mong6;2109
1171;to send out;faat3;2906
1172;minute;fan1 zung1;3345
1173;this time;gam1 ci3;414
1174;to check/to investigate/to examine;caa4;1434
1175;actor or actress/performer;jin2 jyun4;1934
1176;police/police officer;ging2 caat3;2535
1177;language;jyu5 jin4;813
1178;bank;ngan4 hong4;1705
1179;washroom;sai2 sau2 gaan1;1595
1180;a suit/a set;jat1 tou3;354
1181;classifier for gifts, newspaper, magazine, papers, reports, contracts etc;fan6;1336
1182;classifier for headwear, hats, veils etc;deng2;1059
1183;to achieve prosperity/to succeed in becoming rich;faat3 daat6;1988
1184;to change/to become different;bin3;2479
1185;to get rid of/to remove(to take off shirt, shoes, pants, etc.);ceoi4;852
1186;to act on behalf of sb in a responsible position/to act as an agent or proxy/surrogate;doi6 lei5;3436
1187;warm;nyun5;775
1188;afterwards/following/later/after;zi1 hau6;2462
1189;formerly/at first/used to be/original/true/natural;bun2 lai4;256
1190;Where are you from?;nei5 jau4 bin1 dok6 lai2 gaa2？;719
1191;smells good;hoeng1;2786
1192;to devote one's effort/to give one's heart and mind;bei2 sam1 gei1;710
1193;temporary/provisional/for the time being;zaam6 si4;3115
1194;Please give me a...;m4 goi1 bei2 ngo5...;215
1195;to kill oneself/to commit suicide;zi6 saat3;57
1196;clearly/brightly;ming4 ming4;966
1197;any/whichever;jam6 ho4;711
1198;to be or not to be;hai6 m4 hai6;1006
1199;to depart/to leave;lei4 hoi1;1314
1200;late/delayed/slow;ci4;1881
1201;ear;ji5;1649
1202;to forget;mong4 gei3;3023
1203;to needto require;seoi1 jiu1;1055
1204;hair (on the head);tau4 faat3;266
1205;soft;nam4;752
1206;v. to come;lei4;2648
1207;courteous/well-mannered;lai5 maau6;231
1208;just now/a moment ago;tau4 sin1;1500
1209;promise/agree/pledge;jing1 sing4;2494
1210;to cheat/to deceive;aak1;2151
1211;extremely;fei1 soeng4;2068
1212;grapes;tai4 zi2;1588
1213;hobby/interest;hing1 ceoi3;2089
1214;See you later;ci4 di1 gin3;2077
1215;to escape from capture ;zau2 lat1;2012
1216;to believe/to think/to feel;jing6 wai4;544
1217;research/a study;jin4 gau3;3281
1218;luggage;haang4 lei5;2211
1219;low;dai1;1219
1220;badminton;jyu5 mou4 kau4;931
1221;comparatively/in comparison;bei2 gaau3;1699
1222;building/to construct;gin3 zuk1;3062
1223;long (period of time);noi6;3421
1224;in fact/actually;kei1 sat6;2537
1225;to grieve/to be broken-hearted/to feel deeply hurt;soeng1 sam1;2245
1226;to boil;gwan2 bou1;None
1227;Call the police;giu3 ging2 caat3 bou3 ging2;None
1228;lamp/light;dang1;44
1229;apple;ping4 gwo2;226
1230;since/this being the case;gei3 jin4;1722
1231;to hire/to rent;zou1;2482
1232;first early ;sin1;718
1233;to eat lunch;ji6 aan3;76
1234;to exercise/sports/exercise;wan6 dung6;3009
1235;toilet paper;ci3 zi2;1087
1236;to drag/to tow;to1;2096
1237;;zung2;3121
1238;casual/to do as one pleases/careless;kau4 gei1;642
1239;younger brother;sai3 lou2;329
1240;because of/for the purpose of;wai4 zo2;955
1241;urgent/pressing/worried;gap1;3287
1242;undertaking/project/occupation;si6 jip6;2417
1243;hour;siu2 si4;2213
1244;where;bin1 dou3;799
1245;to scare/to intimidate/to threaten;haak3;2867
1246;to bring/to carry/to contain/to bear/to look after/belt/band/tape;daai2;881
1247;quiet/peaceful/calm;ngon1 zing6;1491
1248;bus stop;baa1 si6 zaam6;2198
1249;to introduce (sb to sb)introductionto present, to pitch;gaai3 siu6;2603
1250;shy;paa3 cau2;1371
1251;money;cin2;3545
1252;to return (person);faan1 lai2;1396
1253;fewless;siu2;3172
1254;maybe/possibility;hou1 nang4;1400
1255;weekday of the week;seng1 gei1;1328
1256;to ride a bike;jaai2 daan1 ce1;2922
1257;pair towards/to treat (sb a certain way)/to adjust;deoi3;47
1258;modal particle indicating that sth is obvious [粵] used as an interrogative in a yes-or-no question, sounding like 'do you?', 'are you?', 'would you?', etc | [國] 嗎;maa3;3356
1259;available/to have free time;dak1 haan4;2016
1260;to fall or drop/to descend/(to write) down;lok6;2901
1261;another day;dai6 jat6;728
1262;sometimes;jau5 si4;3186
